A-TOOLS MESH DATA V1.0
Feature-Path: :/features/features/
Screenshot-Path: :/screenshots/screenshots/
N-Samples: 1048576
N-Bins: 256
N-Vox: 32
N-Test-Angles: 8
N-Test-Steps: 256
Ini-Step: -10
End-Step: 10
N-Models: 495
N-Info: 8
----Info----
OFRENDA
NO_ELEMENT
ENTRADA
INVENTARIO
UBICACION
FUNCION
MATERIA PRIMA
DESCRIPCION
----Data----
0020_0155_0001,20,155_0001,1579,10-251934,OF20-P02,FIGURA ANTROPOMORFA,PIEDRA VOLCANICA,XIUHTECUHTLI
0023_0004_0001,23,004_0001,1972,10-220258,S5-V3,TAPA ESPIRAL,BARRO,TAPA OLLA TLALOC
0024_0015_0001,24,015_0001,2209,10-220051,S4-V3,FIGURA ANTROPOMORFA,PIEDRA VOLCANICA,XIUHTECUHTLI
0031_0002_0001,31,002_0001,2957,10-252164,OF31-P01,FIGURA ANTROPOMORFA,PIEDRA VERDE,????
0031_0002_0002,31,002_0002,2957,10-262986,OF31-P01,FIGURA ANTROPOMORFA,PIEDRA VERDE,????
0031_0002_0003,31,002_0003,2957,10-262985,OF31-P01,FIGURA ANTROPOMORFA,PIEDRA VERDE,????
0035_0002_0001,35,002_0001,3363,10-252314,S5-V4,OLLA,BARRO,OLLA
0041_0003_0001,41,003_0001,3359,10-168831,S5-V3,MASCARA,PIEDRA VERDE,GRANDOTA SALA 5
0041_0005_0001,41,005_0001,3364,10-168839,S5-V3,MASCARA,PIEDRA VERDE,????
0041_0013_0001,41,013_0001,3379,10-168781,S5-V3,FIGURA ZOOMORFA,PIEDRA VERDE,IGUANA
0041_0015_0001,41,015_0001,3381,10-168745,S5-V3,MASCARA,PIEDRA VERDE,????
0041_0018_0001,41,018_0001,3384,10-168790,S3-V10,FIGURA ZOOMORFA,PIEDRA VERDE,SERPIENTE
0041_0019_0001,41,019_0001,3385,10-168794,S3-V10,FIGURA ZOOMORFA,PIEDRA VERDE,????
0041_0020_0001,41,020_0001,3386,10-168792,S5-V3,FIGURA ZOOMORFA,PIEDRA VERDE,SERPIENTE
0041_0022_0001,41,022_0001,3388,10-168795,S5-V3,FIGURA ZOOMORFA,PIEDRA VERDE,SERPIENTE
0041_0024_0001,41,024_0001,3390,10-168780,S3-V10,FIGURA ZOOMORFA,PIEDRA VERDE,????
0041_0026_0001,41,026_0001,3392,10-168815,S5-V3,FIGURA ANTROPOMORFA,PIEDRA VERDE,????
0041_0027_0001,41,027_0001,3393,10-168805 1/2,S5-V3,FIGURA REPRESENTACION DE HUEHUETL,PIEDRA VERDE,REPRESENTACION HUEHUETL
0041_0027_0001_0002,41,027_0001,3393,10-168805 1/2,S5-V3,FIGURA REPRESENTACION DE HUEHUETL,PIEDRA VERDE,REPRESENTACION HUEHUETL
0041_0028_0001,41,028_0001,3394,10-168791,S5-V3,FIGURA ZOOMORFA,PIEDRA VERDE,SERPIENTE
0041_0030_0001,41,030_0001,3396,10-168718,S5-V3,FIGURA ZOOMORFA,PIEDRA VERDE,IGUANA
0041_0031_0001,41,031_0001,3397,10-168756,S5-V3,FIGURA ZOOMORFA,PIEDRA VERDE,SERPIENTE
0041_0036_0001,41,036_0001,3402,10-168735,OF41-P03,FIGURA ANTROPOMORFA,PIEDRA VERDE,????
0041_0037_0001,41,037_0001,3403,10-168733,S5-V3,FIGURA ZOOMORFA,PIEDRA VERDE,????
0041_0042_0001,41,042_0001,3414,10-168764,S5-V3,PENDIENTE ZOOMORFO,PIEDRA VERDE,SERPIENTE
0041_0070_0001,41,070_0001,3447,10-168747,S5-V3,PENDIENTE ZOOMORFO,PIEDRA VERDE,????
0041_0071_0001,41,071_0001,3448,10-168749,S5-V3,PENDIENTE ZOOMORFO,PIEDRA VERDE,AGUILA
0041_0077_0001,41,077_0001,3454,10-168784,S5-V3,FIGURA ZOOMORFA,PIEDRA VERDE,SERPIENTE
0041_0090_0001,41,090_0001,3468,10-168765,S5-V3,FIGURA ANTROPOMORFA,PIEDRA VERDE,????
0041_0099_0001,41,099_0001,3477,10-168760,S5-V3,PECTORAL CON REPRESENTACION ANTROPOMORFO,PIEDRA VERDE,????
0041_0105_0001,41,105_0001,3483,10-168757,S5-V3,FIGURA ZOOMORFA,PIEDRA VERDE,????
0041_0130_0001,41,130_0001,3516,10-168750,S5-V3,PENDIENTE ZOOMORFO,PIEDRA VERDE,????
0041_10168789,41,10168789,????,????,????,????,????,????
0043_0001_0001,43,001_0001,3527,10-252338,S5-V4,OLLA,BARRO,????
0062_0036_0001,62,036_0001,4605,10-250235,OF62-P06,FIGURA ANTROPOMORFA,PIEDRA VERDE,TLALOC
0078_0197_0001,78,197_0001,5492,10-253003,S5-V3,FIGURA ZOOMORFA,PIEDRA VERDE,CETRO SERPENTIFORME
0081_0001_0001,81,001_0001,5068,10-252604,S4-V3,FIGURA ANTROPOMORFA,PIEDRA VOLCANICA,XIUHTECUHTLI
0083_0021_0001,83,021_0001,4993,10-252617,S5-V4,FIGURA REPRESENTACION TLALOC,PIEDRA VOLCANICA,????
0085_0064_0001,85,064_0001,6335,10-263980,OF85-P06,OREJERA,PIEDRA VERDE,????
0085_0081_0002,85,081_0001,6425,10-263979,OF85-P02,PENDIENTE CON REPRESENTACION DE CANTARO,PIEDRA VERDE,????
0085_0087_0001,85,087_0001,6431,10-252657,OF85-P02,FIGURA ANTROPOMORFA,PIEDRA VERDE,????
0085_0088_0001,85,088_0001,6432,10-252168,OF85-P02,PENDIENTE,PIEDRA VERDE,????
0085_0094_0001,85,094_0001,6466,10-253224,OF85-P02,FIGURA ZOOMORFA,PIEDRA VERDE,????
0085_0094_0002,85,094_0002,6466,10-251277,OF85-B01,JARRA,BARRO,????
0088_0014_0001,88,014_0001,6729,10-252690,S5-V4,OLLA TLALOC,BARRO,????
0088_10_252642,88,10_252642,????,????,????,????,????,????
00CI_0066_0001,CI,066_0001,7352,10-256372,S2-V16,BRASERO,PIEDRA VERDE,????
00CI_0066_0002,CI,066_0002,????,10-252864,S2-V16,BRASERO,PIEDRA VERDE,????
00CI_0102_0001,CI,102_0001,101,10-250366,S2-V16,BRASERO,PIEDRA VERDE,????
0CII_0005_0001,CII,005_0001,1931,10-220266,CR2-P10,MASCARA,PIEDRA VERDE,????
0CII_0008_0001,CII,008_0001,1934,10-252113,S2-V14,MASCARA,PIEDRA VERDE,????
0CII_0009_0001,CII,009_0001,1935,10-251589,CR-2-P-32,FIGURA ANTROPOMORFA,PIEDRA VERDE,????
0CII_0010_0001,CII,010_0001,1936,10-251592,CII-P02 SALA,MASCARA,PIEDRA VERDE,????
